Locality,FIPS,Year,DeathCount,DeathRate,Theme1,Theme2,Theme3,Theme4,Themes,PctDisabled,PctUnemployed,PctUninsured,PctMinority,PctPov150
Gloucester County,51073,2018,8,21.41958285,0.1818,0.3333,0.1667,0.0606,0.0682,16.8,2.9,8.5,15.1,8.5
Goochland County,51075,2018,1,4.30218551,0.0379,0.0909,0.303,0.2045,0.053,12.6,3.2,4.6,22.3,5.3
Grayson County,51077,2018,0,0,0.8788,0.5833,0.2955,0.5606,0.697,19.2,6.5,11.4,10.1,20.6
Greene County,51079,2018,3,15.167602,0.2803,0.3561,0.4091,0.2121,0.2121,13.8,5,11.7,17.2,6
Greensville County,51081,2018,1,8.600670852,0.9091,0.1894,0.5985,0.9773,0.8864,16.7,6.6,11.7,63.2,16.7
Halifax County,51083,2018,5,14.65416178,0.6591,0.8788,0.5985,0.6515,0.7879,18.2,4.2,9.5,40.3,15.1
Hampton City,51650,2018,23,17.12418009,0.5303,0.6894,0.8561,0.8409,0.8182,15.1,7.2,9.5,61.4,15.8
Hanover County,51085,2018,20,18.64993146,0.0227,0.1288,0.3106,0.0833,0.0152,9.8,3,5.1,15.9,5.6
Harrisonburg City,51660,2018,5,9.253604279,0.7803,0.0682,0.8636,1,0.8333,8.9,4.5,14.2,33.4,28.2
Henrico County,51087,2018,54,16.40036324,0.25,0.4394,0.947,0.2803,0.3788,11,5.3,8.3,46.3,10
Henry County,51089,2018,10,19.62592978,0.9394,0.8788,0.5985,0.8106,0.9545,20.8,8.3,11.6,29.8,20.3
Highland County,51091,2018,0,0,0.2652,0.447,0,0.0606,0.0833,19.6,0.6,9,0.5,12.3
Hopewell City,51670,2018,9,39.83005842,0.9167,0.9697,0.9091,0.7121,0.9697,19.7,8.3,10.5,52.3,21
Isle of Wight County,51093,2018,3,8.118420697,0.4242,0.6288,0.5833,0.4091,0.4848,14.3,7.9,7.3,29.2,10
James City County,51095,2018,4,5.235807689,0.053,0.5379,0.6212,0.2348,0.2045,13.1,4,6.7,24.2,7.8
King and Queen County,51097,2018,2,28.40102244,0.6364,0.4924,0.6439,0.1515,0.4545,14.2,5.9,12.3,34,16.5
King George County,51099,2018,8,30.10348071,0.0682,0.1591,0.3712,0.0303,0.0379,10.5,4,5.6,26.3,5.7
King William County,51101,2018,3,17.71060865,0.2273,0.3409,0.2727,0.0455,0.0985,11.2,3,6.9,23.8,10.1
Lancaster County,51103,2018,0,0,0.197,0.4091,0.4621,0.2273,0.197,16.9,3.4,10.5,32.3,9.2
Lee County,51105,2018,4,16.99163162,0.9848,0.6591,0.1288,0.75,0.8409,25.9,10.3,13.2,7.1,24
Lexington City,51678,2018,1,14.01345291,0.6439,0.0303,0.1364,0.6439,0.2955,13.8,4.2,5.6,17.9,21.6
Loudoun County,51107,2018,22,5.407398304,0.0076,0.1061,0.9394,0.1439,0.1136,5.7,3.5,6.2,43.1,3.7
Louisa County,51109,2018,5,13.59508402,0.5227,0.5455,0.5379,0.3333,0.5076,16.7,6.3,11,22.7,12.3
Lunenburg County,51111,2018,0,0,0.8258,0.7803,0.5682,0.947,0.9091,21.1,4.4,13.3,40.2,17.9
Lynchburg City,51680,2018,7,8.523488298,0.7197,0.2273,0.7197,0.9015,0.8106,12.9,6.2,9.4,37.7,21.8
Madison County,51113,2018,4,30.08649868,0.3258,0.25,0.2879,0.303,0.2348,13,5.5,12.6,15.2,8.3
Manassas City,51683,2018,7,16.81035518,0.4242,0.2652,0.9924,0.4394,0.6061,6.6,5.7,15.6,58.2,8.6
Manassas Park City,51685,2018,2,11.5560178,0.5985,0.4697,1,0.3258,0.6439,9.8,6.3,18.7,65.4,9.7
Martinsville City,51690,2018,8,62.00589056,0.9015,0.9924,0.6818,0.5758,0.9318,19.1,7.8,13.2,54.7,25.5
Mathews County,51115,2018,1,11.36105431,0.1364,0.2121,0.0909,0.0227,0.0303,15.7,2.7,10,14.3,10.8
Mecklenburg County,51117,2018,6,19.57585644,0.7348,0.9318,0.4848,0.7273,0.8485,20.6,4.3,11.7,39.9,18.9
Middlesex County,51119,2018,1,9.28591327,0.3106,0.2727,0.197,0.4167,0.2273,15.5,4.4,8.9,22.6,8.4
Montgomery County,51121,2018,5,5.051270395,0.447,0.0152,0.4545,0.8636,0.3333,10.1,4.7,6.4,16.4,24.3
Nelson County,51125,2018,1,6.740361283,0.303,0.5985,0.3106,0.5303,0.3485,13.3,3.9,11.4,18.4,12.4
